municipio_sae;clave_provincial;municipio_code;number_mun_code;municipio;tipo;rama;escuela;number_escuela;cue;cs;dmclc;dmc;cupo_total;long;lat;ubicacion_cue;zona
A ALSINA;0002EE0501;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;EE;501;3;606745;25;0;70;95;-62.75515899;-37.17580196;Urbano                        ;Urbano
A ALSINA;0002JI0901;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JI;901;3;606744;0;0;242;242;-62.76344792;-37.17682809;Urbano                        ;Urbano
A ALSINA;0002JI0902;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JI;902;3;601044;0;0;174;174;-63.24707361;-37.16311959;Urbano                        ;Urbano
A ALSINA;0002JI0903;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JI;903;3;604159;15;0;15;30;-63.11430648;-37.44695135;Rural Agrupado;Rural
A ALSINA;0002JI0904;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JI;904;3;601046;0;0;98;98;-63.34162596;-36.79881797;Rural Agrupado;Rural
A ALSINA;0002JI0905;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JI;905;3;601349;30;0;30;60;-62.72580381;-37.17035651;Urbano                        ;Urbano
A ALSINA;0002JI0906;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JI;906;3;601344;0;0;10;10;-63.2567691;-37.4543212;Rural Agrupado;Rural
A ALSINA;0002JI0908;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JI;908;3;601360;0;0;8;8;-63.04135198;-36.86986164;Rural Agrupado;Rural
A ALSINA;0002JI0909;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JI;909;3;615445;0;0;190;190;-62.76252491;-37.18045649;Urbano                        ;Urbano
A ALSINA;0002JS0001;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JS;1;1;621310;0;0;4;4;-63.29168908;-36.92477149;Rural Agrupado;Rural
A ALSINA;0002JS0002;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JS;2;1;621470;0;0;6;6;-63.13312765;-36.98917113;Rural Agrupado;Rural
A ALSINA;0002JS0003;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JS;3;1;621481;0;0;3;3;-62.95158158;-37.05899871;Rural Disperso;Rural
A ALSINA;0002JS0004;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JS;4;1;621482;0;0;6;6;-63.26660715;-37.04806344;Rural Disperso;Rural
A ALSINA;0002JS0005;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JS;5;1;621500;0;0;5;5;-63.14794794;-36.87450198;Rural Disperso;Rural
A ALSINA;0002JS0007;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JS;7;1;621484;0;0;4;4;-62.55247771;-37.24473794;Rural Disperso;Rural
A ALSINA;0002JS0008;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JS;8;1;621017;0;0;5;5;-63.05381427;-37.37284783;Rural Disperso;Rural
A ALSINA;0002PP0001;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;1;1;601045;0;0;245;245;-62.76211107;-37.18018339;Urbano                        ;Urbano
A ALSINA;0002PP0003;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;3;1;604860;161;0;161;322;-62.75324234;-37.18053344;Urbano                        ;Urbano
A ALSINA;0002PP0004;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;4;1;604156;0;0;6;6;-63.26690312;-37.04676495;Rural Disperso;Rural
A ALSINA;0002PP0005;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;5;1;604157;0;0;9;9;-63.29162756;-36.92471741;Rural Agrupado;Rural
A ALSINA;0002PP0006;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;6;1;604861;0;0;146;146;-63.33907899;-36.80085427;Rural Agrupado;Rural
A ALSINA;0002PP0007;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;7;1;604158;0;0;8;8;-63.36353509;-36.6642898;Rural Agrupado;Rural
A ALSINA;0002PP0009;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;9;1;602267;0;0;7;7;-63.05383905;-37.3727115;Rural Disperso;Rural
A ALSINA;0002PP0010;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;10;2;602268;0;0;1;1;-63.23170553;-37.31807929;Rural Agrupado;Rural
A ALSINA;0002PP0012;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;12;2;602270;0;0;169;169;-63.24210306;-37.16024429;Urbano                        ;Urbano
A ALSINA;0002PP0015;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;15;2;602272;0;0;5;5;-62.55247464;-37.24508547;Rural Disperso;Rural
A ALSINA;0002PP0017;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;17;2;602274;37;0;37;74;-62.72601921;-37.17067901;Urbano                        ;Urbano
A ALSINA;0002PP0018;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;18;2;602275;40;0;40;80;-63.11418398;-37.44689863;Rural Agrupado;Rural
A ALSINA;0002PP0021;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;21;2;602276;0;0;8;8;-63.04153664;-36.87142341;Rural Agrupado;Rural
A ALSINA;0002PP0023;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;23;2;602277;0;0;4;4;-63.1615476;-37.34205149;Rural Disperso;Rural
A ALSINA;0002PP0026;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;26;2;602279;0;0;2;2;-62.95403666;-37.05256076;Rural Disperso;Rural
A ALSINA;0002PP0034;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;34;2;608065;0;0;3;3;-63.14722286;-36.87463908;Rural Disperso;Rural
A ALSINA;0002PP0036;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;36;2;602285;0;0;6;6;-63.13328729;-36.9890744;Rural Agrupado;Rural
A ALSINA;0002PP0040;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;40;2;602286;0;0;114;114;-62.76108252;-37.17747772;Urbano                        ;Urbano
A ALSINA;0002PP0041;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;41;2;602287;0;0;112;112;-63.24758667;-37.16392389;Urbano                        ;Urbano
A ALSINA;0002PP0044;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;44;2;602289;0;0;9;9;-63.2571988;-37.45432596;Rural Agrupado;Rural
A ALSINA;0002PP0045;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;45;2;621219;65;0;69;134;-62.7706686;-37.18683309;Urbano                        ;Urbano
A ALSINA;0002SC0001;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;SC;1;1;616999;172;0;213;385;-63.2467354;-37.16278504;12;Urbano
