"","municipio_sae","clave_provincial","municipio_code","number_mun_code","municipio","tipo","rama","escuela","number_escuela","cue","cs","dmclc","dmc","cupo_total","long","lat","ubicacion_cue","zona","cupo","clusters","clusters_2","cluster_asignado_2","muni_cluster"
"1","G GUIDO","0037JI0901","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","JI","901","3","602136","21","0","79","100",-57.79214645,-36.64080775,"Rural Agrupado","Rural","778","2","2",2,"37-2"
"2","G GUIDO","0037JI0902","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","JI","902","3","602135","30","0","49","79",-58.10086819,-36.94877857,"Rural Agrupado","Rural","778","2","2",1,"37-1"
"3","G GUIDO","0037JS0001","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","JS","1","1","622127","0","0","4","4",-58.14711926,-36.58859658,"Rural Disperso","Rural","778","2","2",1,"37-1"
"4","G GUIDO","0037JS0002","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","JS","2","1","622489","0","0","10","10",-58.04521287,-36.51035695,"Rural Disperso","Rural","778","2","2",2,"37-2"
"5","G GUIDO","0037PP0001","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","PP","1","1","607947","41","0","95","136",-57.79201512,-36.64093453,"Rural Agrupado","Rural","778","2","2",2,"37-2"
"6","G GUIDO","0037PP0002","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","PP","2","1","602148","0","0","4","4",-58.07583178,-36.66503552,"Rural Disperso","Rural","778","2","2",1,"37-1"
"7","G GUIDO","0037PP0003","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","PP","3","1","602147","50","0","65","115",-58.11049939,-36.94728734,"Rural Agrupado","Rural","778","2","2",1,"37-1"
"8","G GUIDO","0037PP0004","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","PP","4","1","602146","0","0","7","7",-58.0449966,-36.51031266,"Rural Disperso","Rural","778","2","2",2,"37-2"
"9","G GUIDO","0037PP0005","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","PP","5","1","602145","50","0","50","100",-58.10373644,-36.94768791,"Rural Agrupado","Rural","778","2","2",1,"37-1"
"10","G GUIDO","0037PP0006","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","PP","6","1","602144","0","0","8","8",-57.99151686,-36.82471717,"Rural Disperso","Rural","778","2","2",1,"37-1"
"11","G GUIDO","0037PP0007","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","PP","7","1","602143","0","0","1","1",-57.73539861,-36.68914923,"Rural Disperso","Rural","778","2","2",2,"37-2"
"12","G GUIDO","0037PP0008","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","PP","8","1","602142","0","0","8","8",-58.14692874,-36.58887056,"Rural Disperso","Rural","778","2","2",1,"37-1"
"13","G GUIDO","0037PP0009","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","PP","9","1","602141","0","0","3","3",-57.92589705,-36.59502804,"Rural Disperso","Rural","778","2","2",2,"37-2"
"14","G GUIDO","0037PP0010","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","PP","10","2","614547","0","0","6","6",-57.90752166,-36.33919334,"Rural Disperso","Rural","778","2","2",2,"37-2"
"15","G GUIDO","0037PP0011","37","2","GENERAL GUIDO","INICIAL Y PRIMARIA","PP","11","2","602140","0","0","4","4",-58.15067014,-36.85302709,"Rural Disperso","Rural","778","2","2",1,"37-1"
