municipio_sae;clave_provincial;municipio_code;number_mun_code;municipio;tipo;rama;escuela;number_escuela;cue;cs;dmclc;dmc;cupo_total;long;lat;ubicacion_cue;zona;cupo;clusters;clusters_2;cluster_asignado_2;muni_cluster;n
A ALSINA;0002EE0501;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;EE;1;3;606745;25;0;70;95;-62.75515;-37.17580;Urbano;Urbano;4054;2.247191011;2;2;2-2;11
A ALSINA;0002JI0901;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JI;2;3;606744;0;0;242;242;-62.76344;-37.17682;Urbano;Urbano;4054;2.247191011;2;2;2-2;11
A ALSINA;0002JI0902;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JI;3;3;601044;0;0;174;174;-63.24707;-37.16311;Urbano;Urbano;4054;2.247191011;2;1;2-1;6
A ALSINA;0002JI0905;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;JI;4;3;601349;30;0;30;60;-62.72580;-37.17035;Urbano;Urbano;4054;2.247191011;2;2;2-2;11
A ALSINA;0002PP0001;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;6;1;601045;0;0;245;245;-62.76211;-37.18018;Urbano;Urbano;4054;2.247191011;2;2;2-2;11
A ALSINA;0002PP0003;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;7;1;604860;161;0;161;322;-62.75324;-37.18053;Urbano;Urbano;4054;2.247191011;2;2;2-2;11
A ALSINA;0002PP0012;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;8;2;602270;0;0;169;169;-63.24210;-37.16024;Urbano;Urbano;4054;2.247191011;2;1;2-1;6
A ALSINA;0002PP0017;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;9;2;602274;37;0;37;74;-62.72601;-37.17067;Urbano;Urbano;4054;2.247191011;2;2;2-2;11
A ALSINA;0002PP0040;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;10;2;602286;0;0;114;114;-62.76108;-37.17747;Urbano;Urbano;4054;2.247191011;2;2;2-2;11
A ALSINA;0002PP0041;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;11;2;602287;0;0;112;112;-63.24758;-37.16392;Urbano;Urbano;4054;2.247191011;2;1;2-1;6
A ALSINA;0002PP0045;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;12;2;621219;65;0;69;134;-62.77066;-37.18683;Urbano;Urbano;4054;2.247191011;2;2;2-2;11
A ALSINA;0002SC0001;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;SC;13;1;616999;172;0;213;385;-63.24673;-37.16278;12;Urbano;4054;2.247191011;2;1;2-1;6
A ALSINA;0002SC0002;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;SC;14;1;622952;129;0;129;258;-63.33625;-36.80076;12;Urbano;4054;2.247191011;2;1;2-1;6
A ALSINA;0002MA0001;2;1;ADOLFO ALSINA;SECUNDARIAS;MA;15;1;604862;0;80;267;347;-63.25941;-37.15224;Urbano;Urbano;4054;2.247191011;2;1;2-1;6
A ALSINA;0002MS2020;2;1;ADOLFO ALSINA;SECUNDARIAS;MS;16;4;620475;0;12;0;12;-62.76275;-37.18363;Urbano;Urbano;4054;2.247191011;2;2;2-2;11
A ALSINA;0002MT0001;2;1;ADOLFO ALSINA;SECUNDARIAS;MT;17;1;623054;132;0;0;132;-62.75468;-37.18012;Urbano;Urbano;4054;2.247191011;2;2;2-2;11
A ALSINA;cluster;2;cluster;ADOLFO ALSINA;cluster;cluster;18;cluster;cluster;cluster;cluster;cluster;cluster;-63.26319;-37.10051;cluster;cluster;cluster;cluster;cluster;1;2-1;cluster
