ruta,km,minutos
1-1,34.451,61.1833333333333
1-10,31.893,83.05
1-11,15.836,44.4
1-2,24.572,53.8333333333333
1-3,113.237,143.716666666667
1-4,54.231,80.05
1-5,55.493,132.95
1-6,24.568,84.5333333333333
1-7,13.028,33.7
1-8,27.566,82.1333333333334
1-9,13.301,34.4333333333333
10-1,99.354,142.033333333333
10-2,112.18,162.05
100-1,27.992,96.9166666666667
100-2,28.224,106.65
100-3,15.518,50.5333333333333
100-4,19.307,61.9
101-1,112.946,160.1
101-2,43.576,50.9166666666667
102-1,201.637,256.183333333333
102-2,126.023,176.866666666667
102-3,127.674,152.3
102-4,160.643,242.916666666667
103-1,465.69,755.183333333333
